epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,977.173,1.74493,1.16142,1.18296,0.76756,0.65123,0.71443,0.3804,2.39543,1.61441,1.57393,0.000317314,0.000317314,0.000317314
95,987.49,1.73886,1.14891,1.18872,0.606,0.78788,0.74377,0.41561,2.36386,1.70282,1.52873,0.000314404,0.000314404,0.000314404
96,997.861,1.71894,1.13117,1.19455,0.70598,0.6584,0.77218,0.41909,2.3438,1.68183,1.52525,0.000311493,0.000311493,0.000311493
97,1008.19,1.76838,1.18366,1.1693,0.75103,0.65189,0.77073,0.44726,2.33363,1.57922,1.52912,0.000308582,0.000308582,0.000308582
98,1018.55,1.72246,1.12769,1.16491,0.77441,0.62081,0.77171,0.44424,2.34203,1.80639,1.53299,0.000305672,0.000305672,0.000305672
99,1028.89,1.722,1.127,1.19118,0.68415,0.72571,0.74374,0.4087,2.36249,1.98805,1.53571,0.000302761,0.000302761,0.000302761
100,1039.21,1.67314,1.11392,1.16096,0.70507,0.71385,0.74297,0.4126,2.37899,1.71804,1.52244,0.000299851,0.000299851,0.000299851
101,1049.55,1.63823,1.08956,1.15212,0.6748,0.74415,0.75936,0.43219,2.34292,1.66676,1.5257,0.00029694,0.00029694,0.00029694
102,1059.87,1.61391,1.02978,1.15061,0.71522,0.76156,0.77379,0.39243,2.40243,1.68143,1.57238,0.000294029,0.000294029,0.000294029
103,1070.19,1.60309,1.03827,1.12673,0.73764,0.7501,0.76869,0.40422,2.46214,1.77583,1.60037,0.000291119,0.000291119,0.000291119
104,1080.49,1.66108,1.05317,1.16908,0.7757,0.75612,0.78576,0.42398,2.40758,1.6206,1.56324,0.000288208,0.000288208,0.000288208
105,1090.78,1.66371,1.05791,1.15408,0.75908,0.73473,0.77664,0.43445,2.3625,1.58951,1.52921,0.000285298,0.000285298,0.000285298
106,1101.12,1.61224,1.03159,1.122,0.77721,0.76327,0.79553,0.41131,2.35142,1.51516,1.53653,0.000282387,0.000282387,0.000282387
107,1112.36,1.62085,1.03338,1.1448,0.79127,0.74502,0.80179,0.42872,2.30449,1.49328,1.52971,0.000279476,0.000279476,0.000279476
108,1122.65,1.65401,1.05848,1.14069,0.67417,0.78819,0.78304,0.4548,2.2923,1.62026,1.5316,0.000276566,0.000276566,0.000276566
109,1132.96,1.62292,1.06393,1.14837,0.69917,0.79454,0.78957,0.43676,2.33076,1.67674,1.55925,0.000273655,0.000273655,0.000273655
110,1143.26,1.58797,0.99891,1.14447,0.69701,0.81194,0.7984,0.47198,2.32633,1.63066,1.54042,0.000270745,0.000270745,0.000270745
111,1153.64,1.57273,1.00152,1.12694,0.71876,0.79174,0.78468,0.47266,2.35283,1.61143,1.54452,0.000267834,0.000267834,0.000267834
112,1163.97,1.61004,1.00878,1.13054,0.64259,0.7925,0.78143,0.48406,2.34736,1.6864,1.56198,0.000264923,0.000264923,0.000264923
113,1174.4,1.627,1.04271,1.156,0.7683,0.74449,0.78842,0.46743,2.36486,1.66162,1.56378,0.000262013,0.000262013,0.000262013
114,1184.74,1.60293,1.02676,1.14325,0.74456,0.70854,0.78572,0.44982,2.353,1.77804,1.53218,0.000259102,0.000259102,0.000259102
115,1195.04,1.59001,1.01489,1.12019,0.79823,0.74859,0.79396,0.47981,2.43242,1.72465,1.60648,0.000256192,0.000256192,0.000256192
116,1205.34,1.59644,0.994,1.12016,0.74668,0.75249,0.78649,0.4669,2.38183,1.63767,1.54007,0.000253281,0.000253281,0.000253281
117,1215.69,1.57184,1.00566,1.1185,0.79572,0.7394,0.79489,0.46468,2.30965,1.57127,1.52441,0.00025037,0.00025037,0.00025037
118,1226.02,1.54963,0.97969,1.10974,0.74348,0.76441,0.79137,0.48803,2.34494,1.68292,1.56465,0.00024746,0.00024746,0.00024746
119,1236.41,1.5204,0.95806,1.09874,0.7866,0.78199,0.7932,0.47177,2.33168,1.61765,1.54305,0.000244549,0.000244549,0.000244549
120,1246.69,1.53389,0.96976,1.10391,0.81323,0.74898,0.79185,0.47853,2.34637,1.57068,1.53785,0.000241639,0.000241639,0.000241639
121,1257.05,1.56245,0.97194,1.11868,0.83677,0.74379,0.79797,0.49412,2.30723,1.54587,1.52363,0.000238728,0.000238728,0.000238728
122,1267.4,1.55743,0.96833,1.11926,0.81517,0.78369,0.80849,0.49913,2.32519,1.49677,1.55986,0.000235817,0.000235817,0.000235817
123,1277.76,1.53659,0.96205,1.10308,0.74578,0.70829,0.73139,0.43793,2.32816,1.62593,1.541,0.000232907,0.000232907,0.000232907
124,1288.03,1.54911,0.94717,1.12197,0.7977,0.76391,0.80498,0.46395,2.31286,1.62025,1.5181,0.000229996,0.000229996,0.000229996
125,1298.31,1.50019,0.93029,1.10485,0.77755,0.77824,0.79898,0.46123,2.29904,1.58099,1.54169,0.000227086,0.000227086,0.000227086
126,1308.6,1.51118,0.93217,1.10816,0.83583,0.74326,0.79694,0.45532,2.26263,1.58535,1.52794,0.000224175,0.000224175,0.000224175
127,1318.94,1.47838,0.91608,1.09171,0.79502,0.75385,0.80165,0.47105,2.31726,1.60184,1.55381,0.000221264,0.000221264,0.000221264
128,1329.2,1.51371,0.93014,1.10632,0.79134,0.75106,0.79299,0.50962,2.27731,1.58894,1.51581,0.000218354,0.000218354,0.000218354
129,1339.57,1.50155,0.93281,1.09238,0.78558,0.76942,0.80206,0.52987,2.26083,1.51204,1.50985,0.000215443,0.000215443,0.000215443
130,1349.95,1.45361,0.8913,1.07599,0.77364,0.78597,0.80422,0.49186,2.25357,1.55581,1.5064,0.000212533,0.000212533,0.000212533
131,1360.25,1.4917,0.91455,1.08369,0.80682,0.76029,0.80474,0.50889,2.2904,1.56515,1.51393,0.000209622,0.000209622,0.000209622
132,1370.55,1.51571,0.9084,1.08714,0.79722,0.77182,0.79681,0.49818,2.3296,1.56174,1.564,0.000206711,0.000206711,0.000206711
133,1380.82,1.49355,0.9245,1.10003,0.81318,0.76808,0.79731,0.4757,2.27221,1.5871,1.5222,0.000203801,0.000203801,0.000203801
134,1391.13,1.45208,0.87787,1.07856,0.81859,0.77219,0.7997,0.47313,2.27777,1.60924,1.52713,0.00020089,0.00020089,0.00020089
135,1401.39,1.43831,0.87368,1.07079,0.78771,0.7693,0.79899,0.4982,2.30898,1.61278,1.55121,0.00019798,0.00019798,0.00019798
136,1411.65,1.50342,0.9211,1.09981,0.80336,0.77952,0.80367,0.51895,2.30266,1.57146,1.53727,0.000195069,0.000195069,0.000195069
137,1421.93,1.45383,0.89409,1.08521,0.80232,0.77197,0.79807,0.51354,2.28823,1.62329,1.53257,0.000192158,0.000192158,0.000192158
138,1432.21,1.44705,0.89575,1.07242,0.79942,0.77002,0.80352,0.5141,2.25877,1.6062,1.51723,0.000189248,0.000189248,0.000189248
139,1442.46,1.44209,0.87763,1.07029,0.80389,0.78089,0.80114,0.51683,2.32601,1.65231,1.54767,0.000186337,0.000186337,0.000186337
140,1452.72,1.41798,0.85132,1.06668,0.83471,0.78844,0.80769,0.52976,2.31111,1.49426,1.56952,0.000183427,0.000183427,0.000183427
141,1462.98,1.457,0.87023,1.08836,0.8268,0.78022,0.80326,0.51797,2.36146,1.5493,1.58908,0.000180516,0.000180516,0.000180516
142,1473.28,1.45637,0.88672,1.07143,0.80971,0.80064,0.81627,0.52352,2.29148,1.50157,1.52922,0.000177605,0.000177605,0.000177605
143,1483.54,1.47046,0.89698,1.08313,0.75051,0.80069,0.81039,0.52535,2.27121,1.59131,1.52973,0.000174695,0.000174695,0.000174695
144,1493.79,1.44992,0.87134,1.05194,0.76305,0.80437,0.80743,0.49846,2.26957,1.58568,1.51273,0.000171784,0.000171784,0.000171784
145,1504.03,1.4149,0.83801,1.04213,0.77145,0.78153,0.79979,0.51878,2.28273,1.5939,1.53259,0.000168874,0.000168874,0.000168874
